Unit Name,Tenant Name,Lease Start,Lease End,Previous Lease Start,Previous Lease End,Previous Rent,Rent,Percent Difference,Dollar Difference,Status,Term,Tenant Transfer,Term_Days,Is_Month_To_Month,Last,First,Middle
1803,"Reed, Maria A.",2020-01-02,2022-01-26,2019-01-30,2020-04-26,1195.0,1995.0,66.95,800.0,Renewed,24 mo 25 day,Yes,745.0,False,Reed,Maria,A
1403,"Anderson, Ashley B.",2020-02-27,2021-02-26,,,,2395.0,,,Did Not Renew,12 month,No,360.0,False,Anderson,Ashley,B
1805,"Campbell, Raymond C.",2020-02-27,2021-02-26,,,,1620.0,,,Did Not Renew,12 month,No,360.0,False,Campbell,Raymond,C
1805,"Campbell, Raymond C.",2020-02-27,,,,,1620.0,,,Did Not Renew,Month To Month,No,,True,Campbell,Raymond,C
1805,"Campbell, Raymond C.",2020-02-27,2021-02-26,,,,1620.0,,,Did Not Renew,12 month,No,360.0,False,Campbell,Raymond,C
1805,"Campbell, Raymond C.",2020-02-27,2020-08-26,,,,1620.0,,,Did Not Renew,6 month,No,180.0,False,Campbell,Raymond,C
1805,"Campbell, Raymond C.",2020-02-27,2020-08-26,2019-02-26,2020-02-26,1565.0,1620.0,3.51,55.0,Renewed,6 month,No,180.0,False,Campbell,Raymond,C
2007,"Evans, Christina D.",2020-02-27,2020-08-26,2019-02-22,2020-02-26,1175.0,1275.0,8.51,100.0,Renewed,6 month,No,180.0,False,Evans,Christina,D
2307,"Clark, Evelyn E.",2020-02-27,2021-02-26,,,,1325.0,,,Did Not Renew,12 month,No,360.0,False,Clark,Evelyn,E
2307,"Clark, Evelyn E.",2020-02-27,2020-08-26,2019-02-26,2020-02-26,1285.0,1325.0,3.11,40.0,Renewed,6 month,No,180.0,False,Clark,Evelyn,E
1403,"Hughes, Emily F.",2020-03-16,2023-01-26,2020-03-16,2021-01-26,0.0,0.0,,0.0,Renewed,34 mo 11 day,Yes,1031.0,False,Hughes,Emily,F
1806,"Brown, Helen G.",2020-03-27,2021-03-26,,,,1945.0,,,Did Not Renew,12 month,No,360.0,False,Brown,Helen,G
2001,"Ramirez, Henry H.",2020-03-27,2021-03-26,2019-04-01,2020-03-26,1225.0,1250.0,2.04,25.0,Renewed,12 month,No,360.0,False,Ramirez,Henry,H
2407,"Hernandez, Victoria J.",2020-03-27,2021-03-26,2018-12-27,2020-03-26,1195.0,1295.0,8.37,100.0,Renewed,12 month,No,360.0,False,Hernandez,Victoria,J
1802,"Ramirez, Henry H.",2020-04-01,,2020-04-01,2021-03-26,0.0,0.0,,0.0,Renewed,Month To Month,Yes,,True,Ramirez,Henry,H
1702,"Gutierrez, Thomas K.",2020-04-27,2021-04-26,2019-05-01,2020-04-26,1255.0,1300.0,3.59,45.0,Renewed,12 month,No,360.0,False,Gutierrez,Thomas,K
1907,"Flores, Kenneth L.",2020-04-27,2021-04-26,2019-05-01,2020-04-26,1265.0,1325.0,4.74,60.0,Renewed,12 month,No,360.0,False,Flores,Kenneth,L
2306,"Green, Amanda M.",2020-04-27,2021-04-26,2019-01-30,2020-04-26,1825.0,1875.0,2.74,50.0,Renewed,12 month,No,360.0,False,Green,Amanda,M
2501,"Wright, Tyler N.",2020-04-27,2021-04-26,,,,1460.0,,,Did Not Renew,12 month,No,360.0,False,Wright,Tyler,N
2501,"Wright, Tyler N.",2020-04-27,2020-11-26,2019-08-13,2020-04-26,1445.0,1445.0,0.0,0.0,Renewed,7 month,No,210.0,False,Wright,Tyler,N
2305,"Wood, Lauren P.",2020-05-01,2021-06-26,2020-05-01,2021-06-26,0.0,0.0,,0.0,Renewed,13 mo 26 day,Yes,416.0,False,Wood,Lauren,P
1903,"Roberts, Sandra Q.",2020-05-27,2021-05-26,2019-06-11,2020-05-26,2005.0,2005.0,0.0,0.0,Renewed,12 month,No,360.0,False,Roberts,Sandra,Q
2106,"Lewis, Shirley R.",2020-05-27,2021-05-26,2019-06-01,2020-05-26,2085.0,2120.0,1.68,35.0,Renewed,12 month,No,360.0,False,Lewis,Shirley,R
2205,"Moore, Charles S.",2020-05-27,2021-05-26,2019-05-11,2020-05-26,1745.0,1780.0,2.01,35.0,Renewed,12 month,No,360.0,False,Moore,Charles,S
2403,"Nelson, Diane T.",2020-05-27,2021-05-26,2019-03-01,2020-05-26,1995.0,2080.0,4.26,85.0,Renewed,12 month,No,360.0,False,Nelson,Diane,T
