Unit,Unit Type,BD/BA,Tenant,Past Due,Late Count
100,,--/--,Kyle S. Bailey,13084.7,16.0
102,,--/--,Business Tenant 1,-2555.95,10.0
103,,--/--,Daniel T. Davis,12811.42,1.0
104,,--/--,Rachel U. James,5373.0,2.0
105,,--/--,Nicole V. Phillips,22.15,2.0
106,,--/--,Brian W. Lee,-25.0,3.0
1101,Unit Type 11,1/1.00,Judith Y. Perez,0.0,0.0
1102,Unit Type 10,1/1.00,Ronald A. Garcia,0.0,0.0
1103,Unit Type 10,1/1.00,Jennifer C. Young,9.18,0.0
1104,Unit Type 10,1/1.00,Emily D. Delgado Pena,0.0,0.0
1105,Unit Type 10,1/1.00,Pamela B. Baker,9.18,0.0
1106,Unit Type 11,1/1.00,Douglas C. Morales,0.0,0.0
1107,Unit Type 8,1/1.00,Melissa D. Murphy,0.0,0.0
1108,Unit Type 17,2/2.00,Joseph E. Nguyen,12.0,0.0
1109,Unit Type 17,2/2.00,Kevin F. Reyes,646.68,7.0
1110,Unit Type 17,2/2.00,Dennis J. White,0.0,1.0
1111,Unit Type 17,2/2.00,Mark G. Reed,12.0,0.0
1112,Unit Type 17,2/2.00,,,
1113,Unit Type 17,2/2.00,Matthew H. Anderson,0.0,0.0
1114,Unit Type 4,1/1.00,Diane R. Hill,100.0,7.0
1115,Unit Type 2,1/1.00,Steven J. Campbell,0.0,0.0
1116,Unit Type 3,1/1.00,Jacob K. Evans,0.0,0.0
1117,Unit Type 3,1/1.00,Paul N. Collins,7.0,0.0
1118,Unit Type 3,1/1.00,William W. Cook,7.0,0.0
1119,Unit Type 3,1/1.00,Aaron L. Clark,0.0,0.0
1120,Unit Type 3,1/1.00,,,
1121,Unit Type 3,1/1.00,Jeffrey P. Thompson,7.0,0.0
1122,Unit Type 3,1/1.00,Donna M. Hughes,0.0,1.0
1123,Unit Type 3,1/1.00,Lisa N. Brown,7.0,0.0
1124,Unit Type 7,1/1.00,Stephen E. Cabral Nunez,8.77,0.0
1201,Unit Type 11,1/1.00,Sharon L. Morgan,10.24,0.0
1202,Unit Type 10,1/1.00,Patricia U. Jackson,0.0,1.0
1203,Unit Type 10,1/1.00,Barbara K. Mitchell,9.18,0.0
1204,Unit Type 10,1/1.00,Maria L. Ramos,9.18,0.0
1205,Unit Type 10,1/1.00,Thomas V. Gray,9.18,0.0
1206,Unit Type 11,1/1.00,Raymond A. Cox,0.0,13.0
1207,Unit Type 8,1/1.00,Katherine P. Ramirez,0.0,1.0
