Applicant Name,Calculated Assessment,Overridden At
Susan  C. Cox,Conditions Apply,2026-07-16 12:09:53
Jonathan  D. Jones  (Co-signer for Angela Robinson),Criteria Met,
Angela  E. Robinson,Criteria Met,2026-07-16 12:09:35
Karen  F. Martin,Conditions Apply,2026-07-13 09:58:44
Linda  G. Parker  (Co-signer for Rebecca Allen),Criteria Met,
William  J. Thomas  (Co-signer for Anna Torres),Criteria Met,
Christine  L. Kim,Criteria Met,
Rebecca  H. Allen,Criteria Met,
Janet  M. Ruiz,Criteria Met,
Jennifer  N. Bennett,Criteria Met,
Alexander  P. King,Conditions Apply,
Peter  Q. Watson,Criteria Not Met,
Kimberly  R. Rivera,Conditions Apply,
Samantha  S. Chavez,Criteria Met,
Jose  T. Hill,Conditions Apply,
Dennis  U. Bailey,Criteria Met,
Debra  V. Davis  (Co-signer for Anna Torres),Criteria Not Met,
Anna  K. Torres,Criteria Met,
Gary  W. James,Conditions Apply,2026-06-30 16:09:41
David  Y. Phillips,Criteria Met,
Paul  A. Lee,Conditions Apply,2026-06-22 08:25:13
Jeffrey  B. Perez,Criteria Met,
Stephen  C. Garcia,Conditions Apply,2026-06-23 09:52:46
Eric  D. Baker,Conditions Apply,2026-06-23 09:53:25
Carolyn  E. Morales  (Co-signer for Jerry Murphy),Conditions Apply,2026-06-22 08:09:51
Jacob  K. Evans,Criteria Met,
Patricia  G. Nguyen,Criteria Met,
Barbara  H. Reyes,Criteria Met,
Maria  J. Reed,Criteria Met,
Jerry  F. Murphy,Criteria Not Met,2026-06-22 08:16:15
Ashley  K. Anderson  (Co-signer for Jerry Murphy),Conditions Apply,2026-06-22 08:08:52
Raymond  L. Campbell  (Co-signer for Christina Evans),Conditions Apply,2026-06-22 08:07:20
Christina  M. Evans,Conditions Apply,2026-06-22 08:14:09
Evelyn  N. Clark  (Co-signer for Emily Hughes),Criteria Met,2026-06-22 08:21:01
Helen  Q. Brown  (Co-signer for Maria Reed),Criteria Met,
Emily  P. Hughes,Conditions Apply,2026-06-22 08:05:18
Frank  F. Scott,Conditions Apply,2026-06-01 11:57:36
Henry  R. Ramirez,Conditions Apply,
Anthony  K. Cooper,Conditions Apply,2026-05-22 09:12:18
Steven  J. Campbell,Criteria Met,
Victoria  S. Hernandez,Criteria Met,
Sarah  Y. Gonzalez,Criteria Met,
Helen  E. Parker,Conditions Apply,
Donald  J. Peterson,Criteria Met,
Thomas  T. Gutierrez  (Co-signer for Donald Peterson),Criteria Met,
Kenneth  U. Flores,Criteria Not Met,
Amanda  V. Green  (Co-signer for Tyler Wright),Criteria Met,
Lauren  Y. Wood,Criteria Met,
Sandra  A. Roberts  (Co-signer for Sandra Roberts),Criteria Met,
Tyler  W. Wright,Criteria Met,
Sharon  W. Jackson,Criteria Met,
Shirley  B. Lewis  (Co-signer for John Hall),Conditions Apply,2026-05-07 16:30:58
Charles  C. Moore,Criteria Not Met,2026-05-07 14:46:49
Diane  D. Nelson,Conditions Apply,2026-05-07 14:46:26
Kyle  E. Sanchez  (Co-signer for Jose Hill),Criteria Met,
Jeffrey  B. Perez  (Co-signer for Daniel Williams),Criteria Met,
John  H. Hall,Criteria Not Met,2026-05-07 16:31:08
Nicholas  A. Cook,Criteria Met,
Rachel  G. Kelly  (Co-signer for Rachel Kelly),Criteria Met,
Carol  T. Walker,Criteria Met,
Matthew  H. Anderson,Criteria Met,
Nicole  H. Scott,Criteria Met,
Brian  J. Martinez,Conditions Apply,2026-05-11 09:50:58
Judith  K. Morris,Conditions Apply,2026-05-04 12:23:06
Ronald  L. Peterson,Conditions Apply,2026-05-04 09:11:53
Pamela  M. Miller,Criteria Met,
Douglas  N. Ward,Criteria Met,
Melissa  P. Harris,Criteria Met,
Joseph  Q. Morgan,Criteria Met,
Kevin  R. Mitchell,Conditions Apply,2026-05-04 09:46:53
Mark  S. Ramos  (Co-signer for Matthew Smith),Criteria Met,
Steven  U. Taylor,Conditions Apply,2026-05-04 09:46:27
Jacob  V. Stewart,Conditions Apply,2026-05-04 09:42:06
Aaron  W. Rogers  (Co-signer for Steven Taylor),Conditions Apply,2026-05-04 09:46:43
Matthew  T. Smith,Criteria Met,
Donna  Y. Wilson  (Co-signer for Jacob Stewart),Conditions Apply,2026-05-04 09:41:55
Lisa  A. Gomez  (Co-signer for Kevin Mitchell),Criteria Met,
James  U. Wright,Criteria Met,
Katherine  B. Lopez,Conditions Apply,2026-04-16 15:12:43
Ronald  A. Garcia,Conditions Apply,2026-04-16 15:12:08
Elizabeth  C. Cook,Criteria Met,
Emma  D. Gray  (Co-signer for Elizabeth Cook),Criteria Met,
Judith  Y. Perez,Criteria Met,
Nancy  E. Rodriguez,Criteria Met,
George  F. Brooks,Criteria Met,
James  G. Young,Conditions Apply,2026-04-10 09:22:36
Betty  H. Howard,Conditions Apply,2026-04-06 08:10:35
George  T. Green,Criteria Met,2026-04-06 08:11:31
Melissa  D. Murphy,Criteria Not Met,2026-04-03 11:06:29
Jack  J. Ortiz,Conditions Apply,2026-04-03 11:06:11
Michael  M. Harris,Criteria Met,
Nathan  K. Hall,Criteria Met,
Christopher  L. Cruz,Conditions Apply,
Jason  M. Cooper  (Co-signer for Deborah White),Criteria Met,2026-03-30 09:11:28
Joshua  P. Adams,Conditions Apply,2026-04-02 15:04:56
Deborah  N. White,Criteria Met,2026-03-30 09:11:52
Nathan  Y. Lewis,Criteria Met,
Jason  B. Nelson,Criteria Met,
Timothy  Q. Johnson,Conditions Apply,2026-03-18 14:04:06
Frank  R. Carter,Criteria Not Met,2026-03-18 14:00:44
Gregory  S. Collins,Conditions Apply,2026-03-18 15:55:04
Benjamin  T. Thompson,Criteria Met,
Amy  P. Mitchell,Criteria Met,
Donald  U. Richardson,Conditions Apply,2026-03-07 10:54:08
Cynthia  V. Walker  (Co-signer for Richard Turner),Criteria Met,
Michael  Y. Diaz,Conditions Apply,2026-03-07 10:55:58
Scott  M. Vargas Osorio,Criteria Met,
Richard  W. Turner,Conditions Apply,
Jessica  A. Jackson  (Co-signer for Katherine Ramirez),Conditions Apply,
Adam  R. Thompson,Conditions Apply,2026-02-24 13:47:46
Zachary  Q. Collins,Conditions Apply,2026-02-12 12:45:38
Amy  B. Gonzalez  (Co-signer for Zachary Collins),Criteria Met,
Katherine  P. Ramirez,Criteria Not Met,2026-01-30 13:34:56
Helen  G. Brown,Conditions Apply,2026-01-30 13:04:33
