Respondent,How satisfied are you with the overall experience?,Has the issue been resolved completely?,Was the work completed in a timely manner?,Date Received
"Torres, Laura D.",5,Yes,Yes,2020-09-23 00:00:00
"Jackson, Patricia N.",5,Yes,Yes,2020-02-19 00:00:00
"Rivera, Nathan F.",1,No,No,2022-04-06 00:00:00
Business Tenant 2,1,No,No,2019-08-04 00:00:00
Business Tenant 2,3,No,No,2019-10-18 00:00:00
Business Tenant 2,5,Yes,Yes,2020-09-17 00:00:00
Business Tenant 3,5,Yes,Yes,2019-07-22 00:00:00
Business Tenant 3,5,Yes,Yes,2019-07-23 00:00:00
Business Tenant 3,4,Yes,Yes,2019-08-09 00:00:00
"Ward, Kelly C.",5,Yes,Yes,2020-09-09 00:00:00
"White, Mary E.",1,No,No,2022-06-13 00:00:00
"Wilson, Donna P.",1,No,No,2019-10-28 00:00:00
"Wilson, Donna P.",5,Yes,Yes,2020-05-05 00:00:00
"Wilson, Donna P.",5,Yes,Yes,2020-05-22 00:00:00
"Wilson, Donna P.",5,Yes,Yes,2021-02-23 00:00:00
"Wilson, Donna P.",5,Yes,Yes,2021-04-16 00:00:00
"Wilson, Donna P.",5,Yes,Yes,2021-11-03 00:00:00
"Wilson, Donna P.",5,Yes,Yes,2022-01-11 00:00:00
"James, Brandon Q.",1,No,No,2022-06-27 00:00:00
"Gutierrez, Emma K.",2,Yes,Yes,2024-11-06 00:00:00
"Gutierrez, Emma K.",4,Yes,Yes,2024-12-03 00:00:00
"Gutierrez, Emma K.",2,Yes,No,2026-02-28 00:00:00
"Allen, Katherine D.",5,Yes,Yes,2023-02-27 00:00:00
"Allen, Katherine D.",5,Yes,Yes,2023-03-28 00:00:00
"Allen, Katherine D.",5,Yes,Yes,2023-10-31 00:00:00
"Allen, Katherine D.",5,Yes,Yes,2023-12-06 00:00:00
"Clark, Angela G.",5,Yes,Yes,2021-08-02 00:00:00
"Clark, Angela G.",5,Yes,Yes,2022-08-01 00:00:00
"Moore, Samantha U.",5,Yes,Yes,2022-03-08 00:00:00
"Ward, Kelly J.",5,Yes,Yes,2024-12-29 00:00:00
"Ward, Kelly J.",5,Yes,Yes,2021-12-23 00:00:00
"Diaz, Melissa R.",5,Yes,Yes,2022-07-11 00:00:00
"Kim, Robert E.",5,Yes,Yes,2020-09-10 00:00:00
"Garcia, Ronald J.",5,Yes,Yes,2024-04-26 00:00:00
"Miller, Carol H.",1,Yes,No,2024-07-01 00:00:00
"Morales, Kelly W.",5,Yes,Yes,2021-06-08 00:00:00
"Morales, Kelly W.",5,Yes,Yes,2021-06-08 00:00:00
"Morales, Kelly W.",5,Yes,Yes,2021-06-08 00:00:00
"Morales, Kelly W.",5,Yes,Yes,2021-09-20 00:00:00
"Murphy, Walter H.",5,Yes,Yes,2026-03-18 00:00:00
"Adams, Daniel R.",4,Yes,Yes,2025-11-25 00:00:00
"Adams, Daniel R.",5,Yes,Yes,2025-06-26 00:00:00
"Adams, Daniel R.",4,Yes,Yes,2025-07-23 00:00:00
"Cox, Steven W.",5,Yes,Yes,2023-06-19 00:00:00
"Cox, Steven W.",5,Yes,Yes,2025-06-25 00:00:00
"Cox, Steven W.",5,Yes,Yes,2025-09-18 00:00:00
"Evans, Justin R.",2,No,No,2025-01-02 00:00:00
"Evans, Justin R.",5,Yes,Yes,2025-01-03 00:00:00
"Baker, Cynthia Y.",2,No,No,2023-07-06 00:00:00
"Baker, Cynthia Y.",1,No,No,2025-07-26 00:00:00
"Baker, Cynthia Y.",5,Yes,Yes,2025-09-05 00:00:00
"Campbell, Raymond U.",3,No,No,2022-11-28 00:00:00
"Campbell, Raymond U.",5,Yes,Yes,2023-02-11 00:00:00
"Williams, Daniel V.",5,Yes,Yes,2020-04-23 00:00:00
"Morgan, Sharon E.",5,Yes,Yes,2023-12-27 00:00:00
"James, Rachel E.",5,Yes,Yes,2023-07-06 00:00:00
"Howard, Lauren B.",1,No,Yes,2022-12-07 00:00:00
"Harris, Jerry H.",5,Yes,Yes,2022-02-11 00:00:00
"Harris, Jerry H.",5,Yes,Yes,2022-08-08 00:00:00
"Sanchez, Dennis W.",5,Yes,Yes,2021-11-18 00:00:00
"Ramos, Mark J.",5,Yes,Yes,2019-08-21 00:00:00
"Ramos, Mark J.",5,Yes,Yes,2022-01-31 00:00:00
"Ramos, Mark J.",1,No,No,2024-07-29 00:00:00
"Ramos, Mark J.",1,No,No,2025-01-03 00:00:00
"Ramos, Mark J.",5,Yes,Yes,2025-05-02 00:00:00
"Ramos, Mark J.",5,Yes,Yes,2025-07-15 00:00:00
"Diaz, Walter V.",5,Yes,Yes,2025-12-23 00:00:00
"Diaz, Walter V.",1,Yes,No,2026-06-18 00:00:00
"Young, James W.",5,Yes,Yes,2020-06-02 00:00:00
"Torres, Emma F.",5,Yes,Yes,2025-07-11 00:00:00
"Harris, Walter K.",5,Yes,Yes,2024-01-15 00:00:00
"Harris, Walter K.",5,Yes,Yes,2024-03-07 00:00:00
"Harris, Walter K.",5,Yes,Yes,2025-12-16 00:00:00
"Howard, Betty Y.",5,Yes,Yes,2020-05-29 00:00:00
"Howard, Betty Y.",5,Yes,Yes,2020-06-15 00:00:00
"Howard, Betty Y.",5,Yes,Yes,2020-07-06 00:00:00
"Howard, Betty Y.",5,Yes,Yes,2020-07-21 00:00:00
"Howard, Betty Y.",5,Yes,Yes,2020-11-11 00:00:00
"Howard, Betty Y.",4,Yes,No,2021-07-14 00:00:00
"Howard, Betty Y.",5,Yes,Yes,2021-10-19 00:00:00
"Howard, Betty Y.",5,Yes,Yes,2022-02-09 00:00:00
"Howard, Betty Y.",4,No,Yes,2022-11-12 00:00:00
"Howard, Betty Y.",1,No,No,2022-12-13 00:00:00
"Wilson, Karen T.",5,Yes,Yes,2026-03-17 00:00:00
"Gray, Anna Y.",5,Yes,Yes,2025-10-22 00:00:00
"Cook, Victoria E.",1,No,No,2026-04-26 00:00:00
"Smith, Stephanie P.",1,No,No,2025-04-16 00:00:00
"Rodriguez, Kenneth G.",2,No,Yes,2025-09-02 00:00:00
"Rodriguez, Kenneth G.",1,No,No,2025-09-02 00:00:00
"Edwards, Samuel A.",5,Yes,Yes,2026-06-05 00:00:00
"Edwards, Samuel A.",5,Yes,Yes,2026-06-05 00:00:00
"Miller, Cynthia T.",5,Yes,Yes,2023-07-06 00:00:00
"Miller, Cynthia T.",5,Yes,Yes,2025-01-30 00:00:00
"Miller, Cynthia T.",5,Yes,Yes,2025-01-30 00:00:00
"Miller, Cynthia T.",5,Yes,Yes,2025-05-15 00:00:00
"Miller, Cynthia T.",5,Yes,Yes,2025-06-26 00:00:00
"Hernandez, Victoria J.",5,Yes,Yes,2019-12-19 00:00:00
"Hernandez, Victoria J.",5,Yes,Yes,2020-01-20 00:00:00
"Hernandez, Victoria J.",5,Yes,Yes,2020-04-28 00:00:00
"Hernandez, Victoria J.",5,Yes,Yes,2020-07-07 00:00:00
"Hernandez, Victoria J.",5,No,Yes,2021-10-11 00:00:00
"Hernandez, Victoria J.",5,Yes,Yes,2022-09-29 00:00:00
"Hernandez, Victoria J.",5,No,Yes,2025-03-24 00:00:00
"Ramirez, Rebecca K.",5,Yes,Yes,2021-07-08 00:00:00
"Wood, Ryan M.",5,Yes,Yes,2020-10-19 00:00:00
"Wood, Ryan M.",5,Yes,Yes,2020-10-20 00:00:00
"Cuevas Bermudez, Daniel H.",2,No,No,2025-01-27 00:00:00
"Wright, Jennifer A.",5,Yes,Yes,2025-08-28 00:00:00
"Wright, Jennifer A.",5,Yes,Yes,2026-01-16 00:00:00
"Wright, Jennifer A.",5,Yes,Yes,2026-01-28 00:00:00
"Wright, Jennifer Q.",5,Yes,Yes,2021-11-11 00:00:00
"Nguyen, Jessica L.",2,No,No,2025-07-22 00:00:00
"Kelly, Timothy E.",5,Yes,Yes,2026-02-07 00:00:00
"Ramirez, Henry H.",5,Yes,Yes,2019-10-04 00:00:00
"Ramirez, Henry H.",5,Yes,Yes,2020-05-08 00:00:00
"Rivera, Nathan M.",5,Yes,Yes,2025-12-30 00:00:00
"Rivera, Nathan M.",5,Yes,Yes,2026-01-12 00:00:00
"Rivera, Nathan M.",5,Yes,Yes,2022-12-06 00:00:00
"Rivera, Nathan M.",5,Yes,Yes,2023-01-25 00:00:00
"Rivera, Nathan M.",1,No,No,2023-07-26 00:00:00
"Rivera, Nathan M.",5,Yes,Yes,2025-01-08 00:00:00
"Rivera, Nathan M.",5,Yes,Yes,2025-05-07 00:00:00
"Rivera, Nathan M.",5,Yes,Yes,2025-07-07 00:00:00
"Rivera, Nathan M.",5,Yes,Yes,2025-07-08 00:00:00
"Rivera, Nathan M.",5,No,Yes,2025-07-31 00:00:00
"Rivera, Nathan M.",5,Yes,Yes,2025-08-18 00:00:00
"Mitchell, Sarah M.",5,Yes,Yes,2024-03-11 00:00:00
"Parker, Joyce A.",5,Yes,Yes,2020-10-29 00:00:00
"Ramos, Samuel N.",5,Yes,Yes,2024-09-03 00:00:00
"Anderson, Matthew B.",5,Yes,Yes,2019-08-06 00:00:00
"Thompson, Adam B.",1,No,No,2023-01-06 00:00:00
"Flores, Christine N.",5,Yes,Yes,2021-06-21 00:00:00
"Flores, Christine N.",5,Yes,Yes,2021-06-29 00:00:00
"Flores, Christine N.",5,Yes,Yes,2021-08-17 00:00:00
"Flores, Christine N.",4,No,No,2022-10-19 00:00:00
"Flores, Christine N.",1,No,No,2022-12-15 00:00:00
"Flores, Christine N.",3,Yes,No,2024-01-10 00:00:00
"Adams, Scott F.",3,No,No,2021-10-29 00:00:00
"Adams, Scott F.",1,No,Yes,2022-03-22 00:00:00
"Johnson, Brandon G.",3,No,Yes,2021-08-25 00:00:00
"Johnson, Brandon G.",1,No,No,2021-08-26 00:00:00
"Johnson, Brandon G.",2,No,Yes,2021-08-30 00:00:00
"Johnson, Brandon G.",3,No,Yes,2021-08-30 00:00:00
"Johnson, Brandon G.",1,No,No,2021-08-30 00:00:00
"Johnson, Brandon G.",1,No,No,2021-09-07 00:00:00
"Johnson, Brandon G.",1,No,No,2021-09-07 00:00:00
"Johnson, Brandon G.",1,No,No,2021-09-07 00:00:00
"Johnson, Brandon G.",1,No,No,2021-09-20 00:00:00
"Johnson, Brandon G.",5,Yes,Yes,2021-10-18 00:00:00
"Johnson, Brandon G.",1,Yes,No,2021-12-20 00:00:00
"Johnson, Brandon G.",3,Yes,No,2021-12-20 00:00:00
"Johnson, Brandon G.",1,No,No,2022-02-10 00:00:00
"Johnson, Brandon G.",5,Yes,Yes,2022-03-18 00:00:00
"Johnson, Brandon G.",1,No,No,2022-04-06 00:00:00
"Johnson, Brandon G.",1,No,No,2022-06-14 00:00:00
"Clark, Evelyn E.",3,No,No,2019-07-22 00:00:00
"Clark, Evelyn E.",1,No,No,2019-09-18 00:00:00
"Perez, Judith H.",1,No,No,2024-07-03 00:00:00
"Ramirez, Joan M.",3,Yes,No,2024-08-09 00:00:00
"Mendoza, Ashley R.",1,No,No,2020-08-22 00:00:00
"Jones, Christina T.",5,Yes,Yes,2020-08-06 00:00:00
"Garcia, Julie U.",5,Yes,Yes,2021-04-05 00:00:00
"Garcia, Julie U.",5,Yes,Yes,2021-04-05 00:00:00
"Garcia, Julie U.",5,Yes,Yes,2021-04-07 00:00:00
"Garcia, Julie U.",5,Yes,Yes,2021-04-13 00:00:00
"Garcia, Julie U.",4,Yes,Yes,2021-05-03 00:00:00
"Garcia, Julie U.",5,Yes,Yes,2021-05-14 00:00:00
"Garcia, Julie U.",5,Yes,Yes,2021-07-06 00:00:00
"Garcia, Julie U.",5,Yes,Yes,2021-07-15 00:00:00
"Garcia, Julie U.",5,No,Yes,2021-08-17 00:00:00
"Garcia, Julie U.",5,Yes,Yes,2021-09-29 00:00:00
"Garcia, Julie U.",5,Yes,Yes,2021-11-24 00:00:00
"Garcia, Julie U.",5,Yes,Yes,2021-12-11 00:00:00
"Garcia, Julie U.",1,No,Yes,2022-01-22 00:00:00
"Robinson, Aaron A.",5,Yes,Yes,2024-01-16 00:00:00
"Brown, Linda J.",4,Yes,Yes,2021-09-21 00:00:00
"Brown, Linda J.",5,Yes,Yes,2022-04-27 00:00:00
"Edwards, Samuel J.",5,No,Yes,2022-12-01 00:00:00
"Edwards, Samuel J.",5,Yes,Yes,2022-12-13 00:00:00
"Gonzalez, Sarah H.",5,Yes,Yes,2023-01-06 00:00:00
"Carter, Andrew H.",5,Yes,Yes,2025-03-18 00:00:00
"Carter, Andrew H.",5,Yes,Yes,2025-04-17 00:00:00
"Carter, Andrew H.",5,Yes,Yes,2026-04-13 00:00:00
"Carter, Andrew H.",1,No,No,2026-04-10 00:00:00
"Carter, Andrew H.",5,Yes,Yes,2026-04-14 00:00:00
"Carter, Andrew H.",5,Yes,Yes,2026-04-27 00:00:00
"Ortiz, Jack A.",5,Yes,Yes,2020-04-23 00:00:00
"Ortiz, Jack A.",5,Yes,Yes,2021-07-20 00:00:00
"Ortiz, Jack A.",5,Yes,Yes,2021-09-15 00:00:00
"Ortiz, Jack A.",5,Yes,Yes,2021-11-18 00:00:00
"Ortiz, Jack A.",5,Yes,Yes,2022-08-05 00:00:00
"Ortiz, Jack A.",5,Yes,Yes,2022-11-18 00:00:00
"Ortiz, Jack A.",5,Yes,Yes,2022-11-30 00:00:00
"Ortiz, Jack A.",5,Yes,Yes,2023-07-24 00:00:00
"Ortiz, Jack A.",5,Yes,Yes,2023-11-10 00:00:00
"Ortiz, Jack A.",5,Yes,Yes,2023-12-09 00:00:00
"Ortiz, Jack A.",5,No,Yes,2023-12-14 00:00:00
"Ortiz, Jack A.",5,Yes,Yes,2024-08-20 00:00:00
"Ortiz, Jack A.",5,Yes,Yes,2024-08-20 00:00:00
"Ortiz, Jack A.",5,Yes,Yes,2024-09-26 00:00:00
"Ortiz, Jack A.",5,Yes,Yes,2026-06-04 00:00:00
"Taylor, Raymond W.",1,No,No,2025-06-09 00:00:00
"King, Betty K.",5,Yes,Yes,2023-07-26 00:00:00
"Edwards, Maria Q.",3,No,Yes,2020-01-06 00:00:00
"Garcia, Donald W.",1,No,No,2023-06-14 00:00:00
"Garcia, Donald W.",1,No,No,2024-06-20 00:00:00
"Garcia, Donald W.",1,No,No,2024-06-24 00:00:00
"Rogers, Aaron N.",5,Yes,Yes,2021-04-22 00:00:00
"Ramos, Maria L.",5,Yes,Yes,2025-05-28 00:00:00
"Chavez, Charles J.",5,Yes,Yes,2019-07-01 00:00:00
"Chavez, Charles J.",2,No,No,2019-07-23 00:00:00
"Chavez, Charles J.",5,Yes,Yes,2019-12-09 00:00:00
"Lopez, Rebecca V.",5,Yes,Yes,2024-10-04 00:00:00
"Phillips, Andrew R.",5,Yes,Yes,2021-04-15 00:00:00
"Cabral Nunez, Stephen E.",2,Yes,No,2025-02-14 00:00:00
"Perez, Adam T.",5,Yes,Yes,2021-10-06 00:00:00
"Reed, Heather E.",4,Yes,No,2023-06-08 00:00:00
"Reed, Heather E.",5,Yes,Yes,2023-09-11 00:00:00
"Williams, Joshua V.",3,Yes,Yes,2020-02-26 00:00:00
"Williams, Joshua V.",5,Yes,Yes,2020-02-26 00:00:00
"Williams, Joshua V.",5,Yes,Yes,2020-03-12 00:00:00
"Allen, Joan T.",5,Yes,Yes,2022-04-25 00:00:00
"Gonzalez, Amy R.",5,Yes,Yes,2020-07-20 00:00:00
"Gonzalez, Amy R.",5,Yes,Yes,2020-11-02 00:00:00
"Gonzalez, Amy R.",5,Yes,Yes,2021-01-27 00:00:00
"Richardson, Stephen Q.",3,Yes,No,2024-09-25 00:00:00
"Richardson, Stephen Q.",3,No,No,2024-09-25 00:00:00
"Richardson, Ronald W.",3,No,Yes,2025-06-10 00:00:00
