Work Order Number,Primary Resident,Created At,Amount,Resident Requested
15554-1,"Richardson, Julie L.",2016-08-03 00:00:00,0.0,Yes
15695-1,"Walker, Carol M.",2016-08-07 00:00:00,0.0,Yes
15696-1,"Walker, Carol M.",2016-08-07 00:00:00,0.0,Yes
15697-1,"Walker, Carol M.",2016-08-07 00:00:00,0.0,Yes
15844-1,Business Tenant 1,2016-08-11 00:00:00,0.0,No
15899-1,"Turner, Kelly N.",2016-08-12 00:00:00,0.0,Yes
16172-1,"Turner, Kelly N.",2016-08-22 00:00:00,0.0,Yes
16459-1,"Diaz, Walter P.",2016-08-31 00:00:00,0.0,Yes
16737-1,Business Tenant 6,2016-09-11 00:00:00,0.0,No
16738-1,Business Tenant 3,2016-09-11 00:00:00,0.0,No
17165-1,"Diaz, Walter P.",2016-09-28 00:00:00,0.0,Yes
17390-1,"Turner, Kelly N.",2016-10-06 00:00:00,0.0,Yes
17391-1,"Jackson, Sharon Q.",2016-10-06 00:00:00,0.0,Yes
17393-1,"Gonzalez, Sarah R.",2016-10-07 00:00:00,0.0,Yes
17409-1,"Edwards, Samuel S.",2016-10-07 00:00:00,0.0,Yes
17544-1,"Jackson, Sharon Q.",2016-10-12 00:00:00,0.0,Yes
17759-1,"Mendoza, Stephanie T.",2016-10-19 00:00:00,0.0,Yes
17915-1,"Cox, Susan U.",2016-10-24 00:00:00,0.0,Yes
18183-1,"Hughes, Emily F.",2016-11-01 00:00:00,0.0,Yes
18370-1,"Jones, Jonathan V.",2016-11-06 00:00:00,0.0,Yes
18448-1,"Robinson, Angela W.",2016-11-09 00:00:00,0.0,Yes
18706-1,"Cox, Susan U.",2016-11-18 00:00:00,0.0,Yes
18875-1,"Cox, Susan U.",2016-11-26 00:00:00,0.0,Yes
19124-1,"Mendoza, Stephanie T.",2016-12-04 00:00:00,0.0,Yes
19184-1,"Martin, Karen Y.",2016-12-06 00:00:00,0.0,Yes
19198-1,Business Tenant 7,2016-12-06 00:00:00,0.0,Yes
19447-1,"Hughes, Emily F.",2016-12-14 00:00:00,0.0,Yes
19477-1,"Richardson, Julie L.",2016-12-15 00:00:00,0.0,Yes
19601-1,"Cox, Susan U.",2016-12-18 00:00:00,0.0,Yes
19963-1,"Salinas Cortes, Katherine R.",2017-01-04 00:00:00,0.0,No
19972-1,Business Tenant 1,2017-01-04 00:00:00,0.0,No
19973-1,Business Tenant 8,2017-01-04 00:00:00,0.0,No
19994-1,Business Tenant 7,2017-01-05 00:00:00,0.0,No
19995-1,"Parker, Linda A.",2017-01-05 00:00:00,0.0,No
20092-1,"Allen, Rebecca B.",2017-01-07 00:00:00,0.0,No
20130-1,"Cox, Susan U.",2017-01-09 00:00:00,0.0,Yes
20154-1,"Thomas, William C.",2017-01-10 00:00:00,0.0,No
20155-1,Business Tenant 7,2017-01-10 00:00:00,0.0,No
20188-1,"Torres, Anna D.",2017-01-11 00:00:00,0.0,No
20204-1,"Kim, Christine E.",2017-01-11 00:00:00,0.0,No
20205-1,"Kim, Christine E.",2017-01-11 00:00:00,0.0,No
20207-1,"Ruiz, Janet F.",2017-01-11 00:00:00,0.0,Yes
20234-1,Business Tenant 3,2017-01-12 00:00:00,0.0,No
20248-1,"Turner, Kelly N.",2017-01-13 00:00:00,0.0,No
20289-1,Business Tenant 7,2017-01-15 00:00:00,0.0,No
20290-1,"Bennett, Jennifer G.",2017-01-15 00:00:00,0.0,No
20298-1,"Richardson, Julie L.",2017-01-16 00:00:00,0.0,Yes
20331-1,"Jones, Jonathan V.",2017-01-16 00:00:00,0.0,Yes
20609-1,"Edwards, Samuel S.",2017-01-27 00:00:00,0.0,Yes
20610-1,"King, Alexander H.",2017-01-27 00:00:00,0.0,Yes
20972-1,"Cox, Susan U.",2017-02-09 00:00:00,0.0,Yes
21123-1,"Robinson, Angela W.",2017-02-15 00:00:00,0.0,Yes
21362-1,"Richardson, Julie L.",2017-02-25 00:00:00,0.0,Yes
21457-1,"Cox, Susan U.",2017-03-01 00:00:00,0.0,Yes
21530-1,"Hughes, Emily F.",2017-03-03 00:00:00,0.0,Yes
21812-1,"Cox, Susan U.",2017-03-14 00:00:00,0.0,Yes
21934-1,"King, Alexander H.",2017-03-20 00:00:00,0.0,Yes
22267-1,"Robinson, Angela W.",2017-04-02 00:00:00,0.0,Yes
22268-1,"Davis, Joshua K.",2017-04-02 00:00:00,0.0,Yes
22269-1,"Davis, Joshua K.",2017-04-02 00:00:00,0.0,Yes
22292-1,"Davis, Joshua K.",2017-04-03 00:00:00,0.0,Yes
22350-1,"Davis, Joshua K.",2017-04-04 00:00:00,0.0,Yes
22431-1,"Robinson, Angela W.",2017-04-06 00:00:00,0.0,Yes
